[2021-08-02 20:29:25.593150] PING 172.16.0.2 (172.16.0.2) 56(84) bytes of data.
[2021-08-02 20:30:02.694649] 64 bytes from 172.16.0.2: icmp_seq=761 ttl=64 time=26.0 ms
[2021-08-02 20:30:02.896143] 64 bytes from 172.16.0.2: icmp_seq=762 ttl=64 time=27.2 ms
[2021-08-02 20:30:03.096299] 64 bytes from 172.16.0.2: icmp_seq=763 ttl=64 time=26.9 ms
[2021-08-02 20:30:03.298926] 64 bytes from 172.16.0.2: icmp_seq=764 ttl=64 time=28.3 ms
[2021-08-02 20:30:03.499649] 64 bytes from 172.16.0.2: icmp_seq=765 ttl=64 time=28.5 ms
[2021-08-02 20:30:03.691344] 64 bytes from 172.16.0.2: icmp_seq=766 ttl=64 time=19.4 ms
[2021-08-02 20:30:03.890865] 64 bytes from 172.16.0.2: icmp_seq=767 ttl=64 time=18.2 ms
[2021-08-02 20:30:04.088798] 64 bytes from 172.16.0.2: icmp_seq=768 ttl=64 time=15.6 ms
[2021-08-02 20:30:04.294365] 64 bytes from 172.16.0.2: icmp_seq=769 ttl=64 time=20.3 ms
[2021-08-02 20:30:04.492515] 64 bytes from 172.16.0.2: icmp_seq=770 ttl=64 time=17.6 ms
[2021-08-02 20:30:04.695215] 64 bytes from 172.16.0.2: icmp_seq=771 ttl=64 time=19.6 ms
[2021-08-02 20:30:04.901511] 64 bytes from 172.16.0.2: icmp_seq=772 ttl=64 time=25.0 ms
[2021-08-02 20:30:05.100271] 64 bytes from 172.16.0.2: icmp_seq=773 ttl=64 time=23.5 ms
[2021-08-02 20:30:05.297999] 64 bytes from 172.16.0.2: icmp_seq=774 ttl=64 time=20.5 ms
[2021-08-02 20:30:05.497591] 64 bytes from 172.16.0.2: icmp_seq=775 ttl=64 time=19.3 ms
[2021-08-02 20:30:05.699474] 64 bytes from 172.16.0.2: icmp_seq=776 ttl=64 time=20.6 ms
[2021-08-02 20:30:05.913230] 64 bytes from 172.16.0.2: icmp_seq=777 ttl=64 time=33.5 ms
[2021-08-02 20:30:06.105942] 64 bytes from 172.16.0.2: icmp_seq=778 ttl=64 time=25.4 ms
[2021-08-02 20:30:06.304081] 64 bytes from 172.16.0.2: icmp_seq=779 ttl=64 time=22.9 ms
[2021-08-02 20:30:06.510164] 64 bytes from 172.16.0.2: icmp_seq=780 ttl=64 time=27.8 ms
[2021-08-02 20:30:06.697903] 64 bytes from 172.16.0.2: icmp_seq=781 ttl=64 time=14.4 ms
[2021-08-02 20:30:06.912588] 64 bytes from 172.16.0.2: icmp_seq=782 ttl=64 time=28.4 ms
[2021-08-02 20:30:07.103280] 64 bytes from 172.16.0.2: icmp_seq=783 ttl=64 time=18.4 ms
[2021-08-02 20:30:07.305207] 64 bytes from 172.16.0.2: icmp_seq=784 ttl=64 time=19.7 ms
[2021-08-02 20:30:07.506601] 64 bytes from 172.16.0.2: icmp_seq=785 ttl=64 time=20.1 ms
